,0
0,Andaman and Nicobar Islands
1,Andhra Pradesh
2,Arunachal Pradesh
3,Chhattisgarh
4,Dadra and Nagar Haveli and Daman and Diu
5,Delhi
6,Gujarat
7,Haryana
8,Himachal Pradesh
9,Jharkhand
10,Karnataka
11,Kerala
12,Lakshadweep
13,Madhya Pradesh
14,Maharashtra
15,Manipur
16,Meghalaya
17,Mizoram
18,Nagaland
19,Odisha
20,Puducherry
21,Punjab
22,Rajasthan
23,Tamil Nadu
24,Telangana
25,Tripura
26,Chandigarh
27,Jammu and Kashmir
28,Ladakh
29,Uttar Pradesh
30,Uttarakhand
31,West Bengal
